match_id,tournament,year,surface,stage_code,same_country,same_language,rank_mean,opp_rank_mean,rank_gap,single_top100,exp_mean,exp_mean_sq,age_mean,win,pre_olympic,olympic_period,won_tb,tb_set,tb_type,ling_prox,ling_prox_binary,ling_prox_psw_tree,ling_prox_psw_cognet
51,Australian Open,2018,Hard,4,0,0,16.5,22.5,1.0,0,13.5,182.25,31.5,1,0,0,0,2,7pt,0.25,0,0.35156208,0.21645801
54,Australian Open,2018,Hard,4,1,1,73.5,12.0,79.0,0,12.5,156.25,31.5,0,0,0,1,1,7pt,1.0,1,1.0,1.0
54,Australian Open,2018,Hard,4,1,1,12.0,73.5,0.0,0,20.0,400.0,40.0,1,0,0,0,1,7pt,1.0,1,1.0,1.0
54,Australian Open,2018,Hard,4,1,1,73.5,12.0,79.0,0,12.5,156.25,31.5,0,0,0,0,2,7pt,1.0,1,1.0,1.0
54,Australian Open,2018,Hard,4,1,1,12.0,73.5,0.0,0,20.0,400.0,40.0,1,0,0,1,2,7pt,1.0,1,1.0,1.0
56,Australian Open,2018,Hard,5,0,0,1.0,115.0,0.0,0,18.0,324.0,35.5,0,0,0,1,2,7pt,0.25,0,0.14773548000000003,0.23890541
56,Australian Open,2018,Hard,5,0,0,115.0,1.0,84.0,0,6.5,42.25,27.0,1,0,0,0,2,7pt,0.0,0,0.04517572999999997,0.20310442
56,Australian Open,2018,Hard,5,0,0,1.0,115.0,0.0,0,18.0,324.0,35.5,0,0,0,0,3,7pt,0.25,0,0.14773548000000003,0.23890541
56,Australian Open,2018,Hard,5,0,0,115.0,1.0,84.0,0,6.5,42.25,27.0,1,0,0,1,3,7pt,0.0,0,0.04517572999999997,0.20310442
57,Australian Open,2018,Hard,5,0,1,46.0,16.5,16.0,0,10.0,100.0,30.5,0,0,0,1,2,7pt,1.0,1,0.62645039,0.66638535
57,Australian Open,2018,Hard,5,0,0,16.5,46.0,1.0,0,13.5,182.25,31.5,1,0,0,0,2,7pt,0.25,0,0.35156208,0.21645801
57,Australian Open,2018,Hard,5,0,1,46.0,16.5,16.0,0,10.0,100.0,30.5,0,0,0,0,3,7pt,1.0,1,0.62645039,0.66638535
57,Australian Open,2018,Hard,5,0,0,16.5,46.0,1.0,0,13.5,182.25,31.5,1,0,0,1,3,7pt,0.25,0,0.35156208,0.21645801
60,Australian Open,2018,Hard,6,0,0,115.0,16.5,84.0,0,6.5,42.25,27.0,0,0,0,0,3,7pt,0.0,0,0.04517572999999997,0.20310442
60,Australian Open,2018,Hard,6,0,0,16.5,115.0,1.0,0,13.5,182.25,31.5,1,0,0,1,3,7pt,0.25,0,0.35156208,0.21645801
61,Australian Open,2018,Hard,6,1,1,12.0,25.0,0.0,0,20.0,400.0,40.0,0,0,0,0,1,7pt,1.0,1,1.0,1.0
61,Australian Open,2018,Hard,6,1,1,25.0,12.0,4.0,0,10.5,110.25,31.5,1,0,0,1,1,7pt,1.0,1,1.0,1.0
67,Roland Garros,2018,Clay,2,0,0,40.0,12.0,4.0,0,18.5,342.25,36.5,0,0,0,0,1,7pt,0.25,0,0.22969455000000005,0.13042375
