countrycode_1,countrycode_2,lingdist_tree_weighted,lingprox_CogNet_weighted,lingprox_GLED_weighted,common_official
CAF,GEO,.99241304,.013315359,.013311552,0
CAF,GGY,.97934401,.068574615,.040319465,1
CAF,GHA,.91185194,.022547308,.013830494,0
CAF,GIB,.9576211,.072316796,.06016615,0
CAF,GIN,.93009287,.033839203,.035031579,1
CAF,GLP,.84074432,.068661243,.067933679,1
CAF,GMB,.9329704,.027643034,.027009051,0
CAF,GNB,.88359791,.013413673,.014632019,0
CAF,GNQ,.89617872,.066632688,.072723933,0
CAF,GRC,.97484791,.039118998,.04503319,0
CAF,GRD,.88429117,.0034482807,.0020304625,0
CAF,GRL,.99814498,.0069899079,.0046753776,0
CAF,GTM,.9327153,.072199076,.082417645,0
CAF,GUF,.86025721,.070599623,.069951318,1
CAF,GUM,.98223484,.040492643,.027886359,0
CAF,GUY,.89611197,.0093809748,.0055922056,0
CAF,HKG,.99449116,.019108532,.01075952,0
CAF,HND,.91744119,.088702343,.10112595,0
CAF,HRV,.9387781,.044621389,.044116244,0
CAF,HTI,.83601743,.058730077,.044723082,1
CAF,HUN,.99072319,.025853163,.014894871,0
CAF,IDN,.99429792,.0077323043,.000021540669,0
CAF,IMN,.97979611,.06761992,.040069792,0
CAF,IND,.97972006,.017511724,.027723067,0
CAF,IOT,.97974211,.068815999,.040461391,0
CAF,IRL,.96975124,.064735092,.048110232,0
CAF,IRN,.98530829,.000095011055,.024765689,0
CAF,IRQ,.98584592,.012682888,.0090493383,0
CAF,ISL,.98073089,.04836563,.041978948,0
CAF,ISR,.98143381,.028187275,.019369261,0
CAF,ITA,.93183511,.066849343,.093230791,0
CAF,JAM,.87589556,.005350153,.0033915197,0
CAF,JEY,.9749521,.069117256,.043153096,1
CAF,JOR,.98592502,.013011232,.0072711138,0
CAF,JPN,.99804294,.025009258,.0036379169,0
CAF,KAZ,.98941487,.019084768,.019259566,0
CAF,KEN,.93196118,.027915372,.019711997,0
CAF,KGZ,.99387693,.011231355,.011070287,0
CAF,KHM,.99345851,.016939577,.0098460196,0
CAF,KIR,.99509102,.017449683,.0098048178,0
CAF,KNA,.88338608,.0015886604,.0021096433,0
CAF,KOR,.99621493,.016504107,.0075355759,0
CAF,KWT,.98684311,.0038420239,.0062991586,0
CAF,LAO,.99596977,.0056048702,.0040084934,0
CAF,LBN,.96378535,.03528554,.031000447,1
CAF,LBR,.94800061,.0004174638,.00051473035,0
CAF,LBY,.98659611,.0022529108,.00075037923,0
CAF,LCA,.86931169,.019309679,.013581017,0
CAF,LIE,.98306251,.0020846156,.035323281,0
CAF,LKA,.98616815,.016440274,.0074691847,0
CAF,LSO,.88653284,.015888792,.016350977,0
CAF,LTU,.98044831,.026503311,.035193764,0
CAF,LUX,.939574,.074417673,.065512404,1
CAF,LVA,.98081386,.023996428,.032352656,0
CAF,MAC,.99491185,.014998985,.0092012789,0
CAF,MAF,.88218385,.030461088,.022586104,1
CAF,MAR,.96683723,.028124908,.025758965,0
CAF,MCO,.88111556,.10744974,.12941311,1
CAF,MDA,.95973426,.054640014,.079543084,0
CAF,MDG,.95569134,.043161172,.043272879,1
CAF,MDV,.98365194,.00053634786,0,0
CAF,MEX,.92329764,.084684215,.094734505,0
CAF,MHL,.98894697,.037547059,.022076352,0
CAF,MKD,.96994305,.015769094,.032819744,0
CAF,MLI,.94862419,.019605033,.019694416,1
CAF,MLT,.96609664,.051673401,.046872862,0
CAF,MMR,.99954581,.0017500978,.00033252579,0
CAF,MNE,.93414664,.019139836,.020588407,0
CAF,MNG,.99501747,.007284767,.0089660231,0
CAF,MNP,.98798037,.043526713,.024007002,0
CAF,MOZ,.88306069,.034576397,.04060087,0
CAF,MRT,.97249097,.014091509,.013004253,1
CAF,MSR,.88138509,.0017007757,.00099999632,0
CAF,MTQ,.83949739,.067144156,.067130096,1
CAF,MUS,.86431277,.065711759,.064103916,1
CAF,MWI,.87060696,.0032069779,.0021312453,0
CAF,MYS,.99483168,.016123123,.0097457264,0
CAF,MYT,.87883729,.058651056,.065717123,1
CAF,NAM,.91249084,.014095366,.010977891,0
CAF,NCL,.89043421,.10821902,.1081585,1
CAF,NER,.97560304,.016977318,.016507864,1
CAF,NFK,.91821957,.035700027,.020918814,0
CAF,NGA,.92046076,.010774865,.0081021301,0
CAF,NIC,.91760206,.08808279,.10050589,0
CAF,NIU,.99304879,.023613334,.013883811,0
CAF,NLD,.97122675,.052515917,.040184584,0
CAF,NOR,.97961956,.032947447,.046058096,0
CAF,NPL,.98554969,.00042326906,.00053653482,0
CAF,NRU,.98967439,.035199638,.020623524,0
CAF,NZL,.97970486,.059211608,.037021123,0
CAF,OMN,.98589087,.0028776617,.0042068549,0
CAF,PAK,.96732825,.020550933,.010801964,0
CAF,PAN,.92292655,.078504324,.087120503,0
CAF,PCN,.85236448,.00025193891,0,0
CAF,PER,.92724842,.078070901,.089108519,0
CAF,PHL,.99340999,.025860177,.01216428,0
CAF,PLW,.98815674,.040881656,.023654716,0
CAF,PNG,.93629038,.0089319637,.0034370439,0
CAF,POL,.97984707,.037305154,.036274657,0
CAF,PRI,.93695772,.082980312,.082334459,0
CAF,PRK,.9999882,.0045198184,6.8224622e-06,0
CAF,PRT,.91836399,.099172927,.10343385,0
CAF,PRY,.95595264,.047487348,.054208208,0
CAF,PSE,.98718804,.0021414228,.00048557713,0
CAF,PYF,.88377142,.11629426,.11622857,1
CAF,QAT,.98391503,.0063248831,.0058407183,0
CAF,REU,.85555154,.081263728,.081928022,1
CAF,ROU,.94690132,.075188264,.093761779,0
CAF,RUS,.98268533,.025681986,.030716432,0
CAF,RWA,.87891454,.017230619,.023560079,1
CAF,SAU,.98494488,.0028745055,.0026449079,0
CAF,SDN,.98695153,.0025095847,.0014162131,0
CAF,SEN,.92126662,.018534636,.017840546,1
CAF,SGP,.99142551,.02561575,.015251414,0
CAF,SHN,.97974211,.068815999,.040461391,0
CAF,SLB,.93535012,.014109717,.0082898354,0
CAF,SLE,.91219044,.0054698088,.0031441762,0
CAF,SLV,.91645563,.089731231,.10236555,0
CAF,SMR,.92711318,.0667032,.11770587,0
CAF,SOM,.99247718,.0015296983,.00044403796,0
CAF,SPM,.85286766,.14716314,.14713234,1
CAF,SRB,.92777449,.0072017987,.011763393,0
CAF,SSD,.96478933,.0011419951,.0005808266,0
CAF,STP,.89115036,.084847935,.092574038,0
CAF,SUR,.93493587,.019875832,.012003341,0
CAF,SVK,.98115408,.027362173,.032898962,0
CAF,SVN,.93285972,.037896551,.03626607,0
CAF,SWE,.97585624,.050227746,.044019192,0
CAF,SWZ,.8734917,.0048292791,.01348072,0
CAF,SXM,.90082502,.027697271,.025167843,0
CAF,SYC,.8658917,.058070257,.052373774,1
CAF,SYR,.98725867,.0020640986,.0023828042,0
CAF,TCA,.86313051,.0092260735,.0044382894,0
CAF,TCD,.96101195,.024806133,.024569476,1
CAF,TGO,.88023537,.049535997,.049509574,1
CAF,THA,.99580109,.015908435,.007544972,0
CAF,TJK,.98584223,.0059713018,.031542003,0
CAF,TKL,.99331653,.022714257,.013349037,0
CAF,TKM,.99613863,.0065774946,.0057280581,0
CAF,TLS,.92037272,.0042706006,.0038233688,0
CAF,TON,.99518633,.016933151,.0096144453,0
CAF,TTO,.97264737,.066085503,.041561645,0
CAF,TUN,.95768499,.035975091,.033867992,0
CAF,TUR,.99731308,.0084465723,.004654652,0
CAF,TUV,.99851316,.0050600851,.0029696433,0
CAF,TWN,.99995106,.001508283,.000016192707,0
CAF,TZA,.87543678,.0045458362,.012930045,0
CAF,UGA,.93071121,.027489364,.021883702,0
CAF,UKR,.98136121,.025107218,.035130788,0
CAF,URY,.92886186,.084472775,.089639008,0
CAF,USA,.96917295,.068467833,.048472166,0
CAF,UZB,.99417138,.0079203425,.010758244,0
CAF,VAT,.93076128,.074602887,.11770587,0
CAF,VCT,.88586444,.0019745892,.0034066252,0
CAF,VEN,.9177832,.08827389,.10074165,0
CAF,VGB,.89612776,.019879889,.017931752,0
CAF,VIR,.92205125,.045202479,.034871858,0
CAF,VNM,.99892616,.0045646178,.0010661113,0
CAF,VUT,.93583643,.043532241,.036623731,1
CAF,WLF,.93405914,.065954655,.065940849,1
CAF,WSM,.99163085,.028726745,.016715813,0
CAF,YEM,.98673785,.0050806599,.0027578787,0
